Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT)
1970-01-01 00:03:49.600,1.5744520713373493,3.9432455832891566,8.746494718385541,-0.0011168201455156626,0.005318234892552169,-0.002321955533327711,50.252790966999996,6.62564314,477.2553332,0.0,135.32766567446808,10.618352604,4.8387825969,-35.053126909,-10.728750418,-10.777500342
1970-01-01 00:03:49.700,1.5237415310843374,3.9231228139036145,8.761709259192772,0.00014903198859518072,-0.004514198098464458,-4.047782761807233e-05,50.25279103,6.62564313,477.2590198,0.0,135.3127720574468,10.60378933,4.824585915,-35.229376602,-11.336250399,-10.785000323
1970-01-01 00:03:49.800,1.5647366290602411,3.9633683526265058,8.796333152096386,-0.00015998380729880952,-0.0015816580836370238,-0.0010108067682,50.252791017999996,6.625642971,477.29008674,0.0,135.29787844042554,10.587595367999999,4.7993491653,-35.553751755,-10.845000551,-10.430625437
1970-01-01 00:03:49.900,1.566088174047619,3.935666248928572,8.752368336607143,0.002504105749173494,-6.899631035554221e-05,-0.002137965417571084,50.252791005999995,6.625642812000001,477.32115368,0.0,135.28298482340426,10.571401406,4.7741124156,-35.546251679,-10.5637503612,-10.233750342
1970-01-01 00:03:50.000,1.5354786149156627,3.9494402495060243,8.769266163024096,0.005411149944363856,-0.003424976440673253,0.0008205960053253012,50.252790994,6.625642653,477.35222061999997,0.0,135.268091206383,10.555207444,4.7488756659,-35.358751678,-10.601250455999999,-10.605000399
1970-01-01 00:03:50.100,1.5781422149156628,3.969278318313253,8.784369032024095,0.0007378004646506024,-0.013618030196107711,0.004890457892608433,50.252790982,6.625642494,477.38328756,0.0,135.2531975893617,10.539013482,4.7236389162000005,-35.148751832,-10.595625304,-9.9806253428
1970-01-01 00:03:50.200,1.588520720759036,3.931800417120482,8.760754355433736,0.004557435622887952,-0.007973212779530121,0.0009383496867987951,50.25279097,6.625642335,477.4143545,0.0,135.23830397234042,10.522819519999999,4.6984021665,-35.540626146,-10.395000361,-10.0593752853
1970-01-01 00:03:50.300,1.5751403699156628,3.957833143578313,8.782087923566264,0.01802726596192143,-0.01059165530969881,-0.0030469643049559525,50.252790958,6.625642176,477.44542144,0.0,135.22341035531915,10.506625558,4.6731654168,-35.285626983,-10.702500437000001,-10.1268752093
1970-01-01 00:03:50.400,1.6008695633928571,3.963554038892857,8.762644722333333,0.02144773030687952,-0.02429681786960241,-0.0028665663550578313,50.252790946,6.6256420170000005,477.47648838000003,0.0,135.20851673829787,10.490431596,4.6479286671,-35.409376527,-10.496250342,-9.9187502856
1970-01-01 00:03:50.500,1.6280743687710844,3.9938408122168676,8.716166369831324,-0.010919814803445782,-0.03055248223301205,0.0014682412975481928,50.252790934000004,6.625641858,477.50755532,0.0,135.1936231212766,10.474237634,4.6226919174,-35.366251754000004,-10.404375361000001,-9.8643754003
1970-01-01 00:03:50.600,1.6148129370963855,3.996435429686747,8.706162636566265,-0.008984238535491566,-0.015892148267228914,0.004353206663708434,50.252790922,6.625641699,477.53862226,0.0,135.17872950425533,10.458043671999999,4.597455167700001,-35.077501679,-11.00625038,-9.8118755338
1970-01-01 00:03:50.700,1.6748641385421688,3.920384045120482,8.80276560492771,-0.004799514200148809,-0.01987071608,0.0014762142077214286,50.25279091,6.62564154,477.5696892,0.0,135.16383588723406,10.44184971,4.572218418,-35.173126221000004,-10.798125266000001,-9.8381255149
1970-01-01 00:03:50.800,1.6836498294761906,3.890572948154762,8.754949864892856,-0.003383578664507229,-0.01723895604498795,-0.0034994924390072293,50.252790923,6.625641485,477.56857840000004,0.0,135.14894227021276,10.435876848,4.5566425799,-35.221876526,-10.155000399,-9.521250534
1970-01-01 00:03:50.900,1.671692925759036,3.856440897481928,8.731038656566264,1.655908036626509e-05,0.007518756966560241,-0.0002465467894843374,50.252790936000004,6.62564143,477.56746760000004,0.0,135.13404865319148,10.429903986,4.5410667418,-34.706251525,-10.687500475,-8.40750041
